game-design.game-feel.combat | ~ | How attacking and being hit feels: impact, weight, feedback.
game-design.progression.unlock-pace.you-set-your-own-goals | + | There is no final goal to reach; the player picks their own aims, and the reviewer counts that as freedom. **T
live-ops.patch-quality.now-more-about-cosmetics-than-play | - | The reviewer says the game has shifted over time to be more about cosmetics than about playing it. Warframe 50
community.user-created-content.player-made-cosmetics-sold-in-the-shop | + | The in-game shop sells skins made by players, at a price the reviewer calls fair. Warframe 55007033.
game-design.replayability.keeps-playing-while-hating-it | - | The reviewer says the game is badly designed or no fun, yet they keep playing it - hundreds of hours in - and 
game-design.co-op-design.you-can-revive-yourself | + | A downed player can get back up on their own, several times a mission, so a mission does not fail because team
engineering.servers.local-servers-for-my-region | + | The game has servers in the reviewer's region even though the studio is based elsewhere. **The other side of `
publishing.monetisation-practice.you-get-exactly-what-you-pay-for | + | Whatever the player buys, they get exactly that item - no loot boxes or random draws. **The other side of `.wh
game-design.modes.a-mode-stands-out | + | The reviewer singles out one mode or activity as especially fun. **The other side of `.a-mode-falls-flat`.** W
narrative.story.tackles-real-themes | + | The story takes on serious real-world themes - growing up, labour, identity - rather than only spectacle. Warf
game-design.progression.unlock-pace.the-grind-drives-off-casual-players | - | The reviewer argues the grind, from mid-game on, is so heavy that casual and solo players give up, and the pla
game-design.co-op-design.teammates-rush-past-the-puzzles | - | In a group, other players solve or skip the puzzles before you can, so a player who wants to do them has to pl
game-design.co-op-design.story-missions-must-be-played-alone | - | Many story missions cannot be played in co-op, which breaks the flow of a game otherwise played with others. W
live-ops.patch-quality.exploits-are-fixed-faster-than-bugs | - | Anything players can use in their favour is patched within days, while bugs that hurt players stay for years -
live-ops.patch-quality.came-back-and-nothing-had-changed | - | The reviewer returned after time away hoping the game had changed, and found it the same as before. Warframe 6
game-design.level-design.the-levels-do-not-suit-the-movement | - | The movement is fun, but the environments are not built to make use of it. Warframe 67842799.
publishing.monetisation-practice.frustration-is-built-to-sell-shortcuts | - | The reviewer says systems are designed to frustrate the player - traps, pitfalls, waits - so that they pay to 
game-design.enemy-design.enemies-adapt-to-your-damage | - | An enemy grows resistant to the damage types you keep using, so a fight the player cannot adapt to drags on an
engineering.access.no-sign-in-through-steam | - | The game makes the player log in to its own account every time instead of signing in through Steam. Warframe 7
narrative.story.the-story-got-better-over-time | + | Story added after launch has improved a weak story. **The other side of `.the-story-got-worse-over-time`.** Wa
game-design.progression.unlock-pace.a-companion-needs-upkeep | - | A pet or companion has to be kept fed or maintained to keep fighting for the player - one more chore that asks
localization.language-availability.my-language-is-missing | - | The reviewer asks for, or regrets the lack of, a translation into their own language. **Distinct from `.wrong-
community.developer-communication.support-is-responsive | + | The reviewer praises the studio's support team as responsive in general, without one case to point to. **The o
engineering.stability.less-stable-than-it-used-to-be | - | The game used to run without crashing on the player's machine and no longer does. Warframe 78491375 (a 2026 ed
game-design.progression.achievements.plenty-to-hunt | + | The reviewer points achievement hunters to a large set of achievements as a reason to play. **Distinct from `.
game-design.world-interaction.the-world-clock-runs-in-real-time | + | The game world's clocks and cycles - day and night, rotations - run in real time, which the reviewer enjoys. W
community.social-features.a-good-clan-makes-the-game | + | The reviewer says joining a good clan is close to essential: its guidance and help make all the difference to 
narrative.story.still-unfinished-years-on | - | Years after release the story still has open gaps and no end, so the game feels unfinished. Warframe 97137969 
production.content-amount.sprawling-to-a-fault | - | There is too much - systems, currencies, side missions per area - and the sprawl works against the game rather
game-design.level-design.most-levels-can-be-skipped | - | Nothing pushes the player through most of the levels; they can skip them and still follow the story, so the le
